Geo_FILEID,state,Geo_LOGRECNO,state_fips,county_fips,tract,GEOID,tract_id,county,fips,total_pop,pop_sqmile,total_u5,total_u18,pct_u5,pct_u18,over_65,pct_over_65,med_age,med_age_m,med_age_f,total_wht,total_blk,total_asian,pct_wht,pct_blk,pct_asian,total_hispanic,pct_hispanic,no_hs,pct_no_hs,pct_unemploy,hh_single_parent,pct_hh_sf,med_hh_income,hh_ss,pct_hh_ss,med_year,med_home_value,med_gross_rent,X18_64_pov,pct_18_64_pov,X65_pov,pct_65_pov,blk_pov,pct_blk_pov,rental_units,no_car,pct_no_car,no_health_ins,pct_no_health_ins,no_internet,per_no_internet,no_computer,per_no_computer,mh,pct_mh,cost_burdened,pct_rent,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10,min_risk,moderate_risk,major_risk,sev_risk,extreme_risk
ACSSF,nc,3501,37,1,20702,14000US37001020702,207.02,Alamance County,37001020702,5500,1881.245,240,1240,4.36,22.55,838,15.24,37.7,31.6,41,2703,2106,125,49.15,38.29,2.27,729,13.25,312,8.45,8.3,620,23.76,46566,608,23.3,1977,122700,863,381,11.13,109,13.01,611,29.01,1557,16,0.61,458,8.33,415,15.91,169,6.48,72,2.67,44.76,59.68,1519,1343,0,16,30,21,56,40,12,1,0,0.884134299,0.030283081,0.050691244,0.034233048,0.000658328
ACSSF,nc,3502,37,1,20801,14000US37001020801,208.01,Alamance County,37001020801,1819,395.5703,132,422,7.26,23.2,270,14.84,37.3,38.3,35,1144,368,0,62.89,20.23,0,380,20.89,141,11.08,1.96,151,22.14,52273,210,30.79,1975,143600,1067,143,12.69,24,8.89,63,17.12,196,11,1.61,189,10.39,57,8.36,43,6.3,191,24.27,48.47,28.74,881,776,0,8,22,13,17,16,19,9,1,0.880817253,0.034052213,0.034052213,0.039727582,0.011350738
ACSSF,nc,3503,37,1,20802,14000US37001020802,208.02,Alamance County,37001020802,5909,3239.974,257,1250,4.35,21.15,854,14.45,37.8,31.8,45.9,2201,2177,124,37.25,36.84,2.1,2059,34.85,1273,32.15,7.06,840,36.83,35720,656,28.76,1959,99500,794,612,16.13,182,21.49,594,27.3,1384,306,13.42,1558,26.45,471,20.65,299,13.11,26,1.02,44.43,60.68,2574,2308,0,23,46,28,85,57,24,3,0,0.896658897,0.026806527,0.043900544,0.031468531,0.001165501
ACSSF,nc,3504,37,1,20901,14000US37001020901,209.01,Alamance County,37001020901,3549,1165.22,238,666,6.71,18.77,773,21.78,45.3,42.4,51.2,2515,574,34,70.87,16.17,0.96,607,17.1,196,7.32,2.23,126,7.88,54730,668,41.8,1984,177300,879,71,3.36,57,7.37,37,6.58,511,153,9.57,146,4.11,336,21.03,280,17.52,142,8.01,24.85,31.98,1476,1364,1,7,13,13,35,18,14,11,0,0.924796748,0.013550136,0.032520325,0.021680217,0.007452575
ACSSF,nc,3505,37,1,20902,14000US37001020902,209.02,Alamance County,37001020902,4211,1063.562,301,974,7.15,23.13,797,18.93,40.4,39,45.4,3401,441,0,80.76,10.47,0,553,13.13,242,8.56,2.47,179,11.08,73750,566,35.05,1995,190400,846,309,12.66,61,7.65,32,7.26,165,27,1.67,256,6.08,104,6.44,27,1.67,156,9.45,32.12,10.22,1902,1695,2,18,25,20,38,32,37,30,5,0.892218717,0.022607781,0.030494217,0.036277603,0.018401682
ACSSF,nc,3506,37,1,21000,14000US37001021000,210,Alamance County,37001021000,4723,3790.271,432,1460,9.15,30.91,494,10.46,30.6,31.1,30.1,1781,1705,0,37.71,36.1,0,1285,27.21,467,16.86,13.89,602,32.84,29979,499,27.22,1971,89500,759,1110,40.09,101,21.04,981,57.81,1320,166,9.06,992,21.07,430,23.46,275,15,65,3.35,58.26,72.01,1503,1365,0,17,15,14,69,15,7,1,0,0.908183633,0.021290752,0.055222888,0.014637392,0.000665336
ACSSF,nc,3507,37,1,21101,14000US37001021101,211.01,Alamance County,37001021101,3267,1052.404,254,569,7.77,17.42,661,20.23,40.4,34.3,48.1,2081,759,7,63.7,23.23,0.21,330,10.1,339,13.8,6.1,254,15.95,48333,519,32.6,1979,145000,927,253,12.42,71,10.74,185,24.37,757,21,1.32,167,5.11,175,10.99,86,5.4,34,1.82,31.57,47.55,1391,1220,0,14,25,18,46,24,15,14,15,0.877066858,0.028037383,0.046010065,0.028037383,0.020848311
ACSSF,nc,3508,37,1,21102,14000US37001021102,211.02,Alamance County,37001021102,3389,811.7612,220,626,6.49,18.47,613,18.09,37.9,40.9,37.6,2513,623,25,74.15,18.38,0.74,250,7.38,269,11.54,6.37,397,27.12,44539,501,34.22,1980,164800,773,400,19.19,111,18.11,208,36.43,516,52,3.55,215,6.47,229,15.64,101,6.9,98,6.25,36.24,35.25,1355,1191,2,13,22,17,42,20,32,12,4,0.880442804,0.025830258,0.043542435,0.038376384,0.011808118
ACSSF,nc,3509,37,1,21201,14000US37001021201,212.01,Alamance County,37001021201,6274,462.6014,503,1678,8.02,26.75,1058,16.86,35.1,33.1,40.2,3039,1999,8,48.44,31.86,0.13,1505,23.99,805,20.56,1.75,635,29.09,39519,604,27.67,1982,98400,769,502,14.19,162,15.31,329,16.72,573,57,2.61,1444,23.02,546,25.01,265,12.14,891,35.16,50.26,26.25,2728,2550,0,12,21,19,28,26,21,25,26,0.934750733,0.012096774,0.017228739,0.017228739,0.018695015
ACSSF,nc,3510,37,1,21204,14000US37001021204,212.04,Alamance County,37001021204,4867,378.3846,231,1045,4.75,21.47,748,15.37,42.4,42.1,42.6,3440,813,65,70.68,16.7,1.34,673,13.83,444,12.41,2.29,360,18.95,66098,510,26.84,1997,187000,778,294,9.68,71,10.64,170,21.55,272,18,0.95,526,11.09,355,18.68,138,7.26,465,22.66,31.98,14.32,2588,2378,0,15,24,17,46,30,34,38,6,0.91885626,0.015069552,0.024343122,0.024729521,0.017001546
ACSSF,nc,3511,37,1,21205,14000US37001021205,212.05,Alamance County,37001021205,7701,1705.663,457,1819,5.93,23.62,832,10.8,36.2,41.1,32.6,3805,1950,642,49.41,25.32,8.34,618,8.02,263,5.02,4.82,346,10.87,72886,670,21.04,2008,252200,1046,321,6.36,139,16.71,179,9.19,1409,72,2.26,428,5.56,169,5.31,201,6.31,75,2.22,52.02,44.25,2507,2329,0,28,44,15,39,21,24,7,0,0.928998803,0.028719585,0.021539689,0.017949741,0.002792182
ACSSF,nc,3512,37,1,21206,14000US37001021206,212.06,Alamance County,37001021206,5582,1116.92,211,1325,3.78,23.74,716,12.83,34.4,32.6,38,3495,1504,181,62.61,26.94,3.24,315,5.64,265,7,5.14,345,16.46,60865,537,25.62,1995,191200,899,89,2.51,32,4.47,115,7.65,972,34,1.62,440,7.88,332,15.84,241,11.5,199,8.88,41.67,46.37,1892,1655,0,16,23,16,49,45,58,26,4,0.874735729,0.020613108,0.03435518,0.054439746,0.015856237
ACSSF,nc,3513,37,1,21207,14000US37001021207,212.07,Alamance County,37001021207,3445,746.2773,244,878,7.08,25.49,857,24.88,44.3,42.6,44.8,2701,330,46,78.4,9.58,1.34,148,4.3,111,4.42,8.43,230,15.46,49577,556,37.37,1969,175100,1031,227,13.27,145,16.92,82,24.85,457,52,3.49,223,6.47,193,12.97,117,7.86,48,2.94,68.27,30.71,1565,1438,1,5,8,6,17,32,37,21,0,0.919488818,0.008306709,0.014696486,0.044089457,0.01341853
ACSSF,nc,3514,37,1,21300,14000US37001021300,213,Alamance County,37001021300,6145,117.667,363,1096,5.91,17.84,1194,19.43,45,45.8,44.4,4176,1570,4,67.96,25.55,7.00E-02,322,5.24,472,10.77,3.78,293,12.51,65179,918,39.18,1992,173000,750,260,6.75,97,8.18,177,11.35,342,78,3.33,531,8.67,362,15.45,183,7.81,706,27.57,30.7,14.6,3670,3417,0,13,35,17,28,25,51,72,12,0.93106267,0.013079019,0.01226158,0.020708447,0.022888283
ACSSF,nc,3515,37,1,21400,14000US37001021400,214,Alamance County,37001021400,2420,96.15199,99,448,4.09,18.51,539,22.27,50.9,54.1,45.8,1937,182,0,80.04,7.52,0,137,5.66,157,8.34,4.97,84,7.92,88142,436,41.09,1973,206600,1078,106,7.4,38,7.05,22,14.67,157,18,1.7,208,8.63,235,22.15,61,5.75,128,10.99,18.47,14.8,1929,1763,0,9,14,10,27,13,23,33,37,0.913945049,0.011923276,0.019180923,0.018662519,0.036288232
ACSSF,nc,3516,37,1,21500,14000US37001021500,215,Alamance County,37001021500,4579,129.5011,213,1043,4.65,22.78,653,14.26,42.9,40.8,44.7,3916,227,0,85.52,4.96,0,265,5.79,270,8.06,5.99,237,14.78,72438,574,35.81,1985,171300,630,34,1.18,60,9.19,9,3.96,131,35,2.18,288,6.3,139,8.67,57,3.56,348,19.31,6.11,8.17,2764,2590,1,13,20,9,29,20,32,39,11,0.937409551,0.011939219,0.013748191,0.018813314,0.018089725
ACSSF,nc,3517,37,1,21600,14000US37001021600,216,Alamance County,37001021600,7661,596.811,392,1438,5.12,18.77,1049,13.69,26.4,30,21.7,6241,995,112,81.46,12.99,1.46,366,4.78,519,13.37,2.57,212,9.29,65036,988,43.31,1991,168600,913,204,6.74,159,15.16,49,5.57,659,178,7.8,358,4.67,544,23.85,284,12.45,396,15.3,57.36,28.89,2856,2620,1,26,44,8,43,27,37,36,14,0.917717087,0.024509804,0.017857143,0.022408964,0.017507003
ACSSF,nc,3518,37,1,21701,14000US37001021701,217.01,Alamance County,37001021701,3455,2104.8,85,567,2.46,16.41,1175,34.01,55.7,54.4,57.2,3098,306,26,89.67,8.86,0.75,49,1.42,101,3.63,2.24,64,4.05,81250,814,51.52,1992,248400,2299,137,8.06,39,3.49,0,0,386,60,3.8,129,3.81,95,6.01,76,4.81,65,3.9,68.39,24.43,1300,1196,0,12,28,7,40,10,7,0,0,0.92,0.030769231,0.036153846,0.013076923,0
ACSSF,nc,3519,37,1,21702,14000US37001021702,217.02,Alamance County,37001021702,6612,3103.452,175,905,2.65,13.69,774,11.71,22.6,23.4,21.7,5587,427,365,84.5,6.46,5.52,313,4.73,145,4.9,3.95,171,8.72,69478,489,24.94,1992,341200,1103,1591,39.4,72,9.66,43,12.72,614,0,0,395,6.01,55,2.8,24,1.22,0,0,74.59,31.31,1737,1600,0,20,24,12,59,21,1,0,0,0.921128382,0.025331031,0.040875072,0.012665515,0
ACSSF,nc,3520,37,1,21703,14000US37001021703,217.03,Alamance County,37001021703,7437,828.1295,531,1793,7.14,24.11,897,12.06,34.1,30.1,38.1,4659,1565,714,62.65,21.04,9.6,484,6.51,300,6.08,5.02,253,8.21,75532,603,19.57,2005,261500,1066,187,3.95,21,2.53,146,9.54,1583,120,3.89,368,5.05,151,4.9,138,4.48,78,2.35,23.37,51.36,2904,2702,0,16,59,18,42,22,26,15,2,0.930440771,0.025826446,0.020661157,0.016528926,0.005853994
ACSSF,nc,3521,37,1,21801,14000US37001021801,218.01,Alamance County,37001021801,4808,153.5632,159,1146,3.31,23.84,965,20.07,44.8,46.3,40.5,4364,307,4,90.77,6.39,0.08,124,2.58,228,6.8,2.83,272,15.14,69819,608,33.85,1978,238000,859,209,7.75,54,5.6,93,30.29,220,45,2.51,446,9.35,238,13.25,138,7.68,49,2.54,9.09,12.25,2730,2579,1,11,17,11,33,13,17,37,11,0.945054945,0.01025641,0.016117216,0.010989011,0.017582418
ACSSF,nc,3522,37,1,21802,14000US37001021802,218.02,Alamance County,37001021802,3903,139.2739,226,939,5.79,24.06,531,13.6,37.2,43.3,34.4,3657,99,10,93.7,2.54,0.26,101,2.59,252,9.58,5.98,132,8.92,60000,472,31.89,1995,158400,597,224,9.21,35,6.59,0,0,295,43,2.91,334,8.56,82,5.54,50,3.38,495,31.53,30.84,19.93,2076,1936,0,7,21,6,21,9,27,45,4,0.93256262,0.013487476,0.01300578,0.01734104,0.023603083
ACSSF,nc,3523,37,1,21803,14000US37001021803,218.03,Alamance County,37001021803,3332,91.0153,231,752,6.93,22.57,542,16.27,44.4,44.1,44.7,3096,168,0,92.92,5.04,0,40,1.2,287,11.9,0.95,157,13,45431,434,35.93,1990,180600,739,105,5.15,52,9.59,0,0,253,107,8.86,387,11.61,193,15.98,161,13.33,289,22.68,27.67,20.94,1705,1621,0,4,7,5,7,10,14,26,11,0.950733138,0.006451613,0.007038123,0.014076246,0.02170088
ACSSF,nc,3524,37,1,21901,14000US37001021901,219.01,Alamance County,37001021901,5005,233.8341,454,1079,9.07,21.56,982,19.62,48,49,46.3,4420,310,24,88.31,6.19,0.48,306,6.11,295,8.06,4.94,107,5.43,77151,816,41.4,1993,184900,764,274,9.31,59,6.01,12,4.44,250,50,2.54,433,8.65,228,11.57,206,10.45,548,26.51,79.2,12.68,2398,2183,0,21,30,22,25,12,38,48,19,0.910341952,0.021267723,0.019599666,0.020850709,0.02793995
ACSSF,nc,3525,37,1,21902,14000US37001021902,219.02,Alamance County,37001021902,3901,82.70185,169,863,4.33,22.12,610,15.64,38.8,40.4,37.3,2914,394,0,74.7,10.1,0,402,10.31,310,11.13,3.71,342,21.18,60853,490,30.34,1996,152400,907,189,7.78,9,1.48,0,0,339,87,5.39,741,19,225,13.93,148,9.16,523,28.52,15.92,20.99,2577,2390,0,11,21,10,21,10,27,56,31,0.927435002,0.01241754,0.012029492,0.01435778,0.033760186
ACSSF,nc,3526,37,1,22001,14000US37001022001,220.01,Alamance County,37001022001,3657,322.1157,259,741,7.08,20.26,792,21.66,44.2,42.4,46.8,3219,287,59,88.02,7.85,1.61,305,8.34,314,12.04,5.57,270,18.79,82228,584,40.64,1983,193500,712,84,3.95,20,2.53,21,7.32,200,25,1.74,215,5.88,117,8.14,70,4.87,230,14.16,20,13.92,1993,1782,2,10,28,25,25,15,40,42,24,0.895132965,0.019066734,0.025087807,0.027596588,0.033115906
ACSSF,nc,3527,37,1,22002,14000US37001022002,220.02,Alamance County,37001022002,4236,199.6607,168,931,3.97,21.98,608,14.35,40.8,41.1,40.5,3263,360,7,77.03,8.5,0.17,839,19.81,482,16.77,6.7,325,19.41,49799,595,35.54,1994,182600,674,362,13.42,36,5.92,68,18.89,310,74,4.42,464,10.95,242,14.46,119,7.11,640,34.97,29.68,18.52,2312,2131,0,4,18,10,21,16,38,62,12,0.921712803,0.009515571,0.013408304,0.023356401,0.03200692
ACSSF,nc,3528,37,3,40100,14000US37003040100,401,Alexander County,37003040100,3104,51.74804,129,489,4.16,15.75,589,18.98,47.5,49.5,43.2,2934,111,0,94.52,3.58,0,13,0.42,282,11.63,6.97,234,19.88,49313,556,47.24,1987,141500,885,243,11.99,49,8.32,111,100,181,23,1.95,574,18.49,286,24.3,237,20.14,443,30.14,39.22,15.38,2817,2513,0,4,6,10,19,13,36,111,105,0.892083777,0.003549876,0.01029464,0.017394391,0.076677316
ACSSF,nc,3529,37,3,40200,14000US37003040200,402,Alexander County,37003040200,3714,56.35885,91,680,2.45,18.31,906,24.39,50.1,50.6,48.4,3373,159,0,90.82,4.28,0,319,8.59,415,15.04,14.61,213,13.12,50669,731,45.01,1982,131800,672,104,4.89,83,9.16,0,0,125,46,2.83,331,8.91,472,29.06,328,20.2,469,23.06,6.4,7.7,3182,2755,0,7,19,24,20,22,44,163,128,0.865807668,0.008170962,0.013827781,0.020741672,0.091451917
ACSSF,nc,3530,37,3,40300,14000US37003040300,403,Alexander County,37003040300,3058,108.48,146,811,4.77,26.52,606,19.82,44.3,46.7,35,2961,0,0,96.83,0,0,0,0,410,19.47,4.35,133,10.68,51290,419,33.65,1986,122300,626,277,16.88,60,9.9,0,NA,273,79,6.35,151,4.94,229,18.39,183,14.7,579,38.89,29.67,21.93,2378,2151,0,5,15,14,14,14,31,77,57,0.904541632,0.008410429,0.011774601,0.018923465,0.056349874
ACSSF,nc,3531,37,3,40400,14000US37003040400,404,Alexander County,37003040400,6344,318.391,340,1392,5.36,21.94,1607,25.33,44.4,44.5,44.3,4652,1051,97,73.33,16.57,1.53,303,4.78,843,19.22,1.54,469,18.45,48294,1204,47.36,1981,115500,699,447,13.6,285,18.85,337,34.07,662,145,5.7,589,9.53,425,16.72,300,11.8,622,21.06,36.86,26.04,4171,3811,1,17,41,23,44,37,76,109,12,0.913929513,0.013905538,0.016063294,0.027091825,0.02900983
ACSSF,nc,3532,37,3,40500,14000US37003040500,405,Alexander County,37003040500,6637,154.6499,287,1384,4.32,20.85,1267,19.09,41.7,38.2,46.6,5907,32,0,89,0.48,0,601,9.06,582,12.07,2.83,563,23.16,63355,989,40.68,1987,139700,772,182,4.57,236,18.63,0,0,466,64,2.63,491,7.4,332,13.66,293,12.05,943,31.71,22.32,19.17,4261,4018,0,10,33,17,29,24,34,68,28,0.942971134,0.010091528,0.010795588,0.013611828,0.022529923
ACSSF,nc,3533,37,3,40600,14000US37003040600,406,Alexander County,37003040600,6752,245.191,334,1281,4.95,18.97,970,14.37,38.5,33.3,43,5686,492,0,84.21,7.29,0,284,4.21,885,18.86,4.08,179,9.65,59358,648,34.95,1987,158900,694,200,5.61,13,1.43,0,NA,401,11,0.59,630,10.95,280,15.1,151,8.14,831,36.98,28.18,21.63,3581,2998,5,17,36,20,34,38,90,156,187,0.838592572,0.014800335,0.015079587,0.035744206,0.095783301
ACSSF,nc,3534,37,3,40700,14000US37003040700,407,Alexander County,37003040700,6882,443.0212,273,1353,3.97,19.66,1437,20.88,45.6,45.6,46.1,6476,0,312,94.1,0,4.53,305,4.43,504,10.09,3.51,439,16.74,64956,1117,42.58,1986,205400,768,401,9.8,99,6.89,0,NA,402,33,1.26,655,9.52,235,8.96,161,6.14,299,10.57,30.6,15.33,4432,3552,3,21,53,37,58,67,105,243,293,0.802120939,0.016696751,0.021435018,0.038808664,0.120938628
ACSSF,nc,3535,37,5,950100,14000US37005950100,9501,Alleghany County,37005950100,4097,44.4442,176,768,4.3,18.75,994,24.26,45.2,44.6,46.4,3871,2,0,94.48,0.05,0,410,10.01,585,18.83,6.4,211,12.01,45239,750,42.69,1983,152600,486,579,24.8,201,20.22,1,50,295,121,6.89,542,13.23,162,9.22,121,6.89,549,16.88,36.95,16.79,5776,5092,0,17,28,40,34,29,66,209,259,0.881578947,0.007790859,0.012811634,0.016447368,0.081024931
ACSSF,nc,3536,37,5,950200,14000US37005950200,9502,Alleghany County,37005950200,3889,129.7428,138,693,3.55,17.82,1019,26.2,50.8,50.9,50.4,3585,51,58,92.18,1.31,1.49,466,11.98,762,25.69,2.22,277,16.76,36637,749,45.31,1978,180000,699,347,16.17,119,12.45,12,75,513,131,7.92,545,14.36,407,24.62,253,15.31,305,15.14,29.24,31.03,3000,2453,0,6,28,35,38,24,56,178,182,0.817666667,0.011333333,0.024333333,0.026666667,0.12
ACSSF,nc,3537,37,5,950300,14000US37005950300,9503,Alleghany County,37005950300,2924,25.95018,140,403,4.79,13.78,992,33.93,56.4,57.4,55.2,2765,135,0,94.56,4.62,0,218,7.46,375,16.23,4.89,93,6.83,38036,723,53.08,1987,166500,790,219,14.32,114,11.49,110,81.48,174,20,1.47,280,9.58,324,23.79,313,22.98,361,14.71,35.63,12.78,5711,4527,0,14,27,54,60,44,86,389,510,0.792680791,0.007179128,0.019961478,0.022763089,0.157415514
ACSSF,nc,3538,37,7,920100,14000US37007920100,9201,Anson County,37007920100,2978,29.30097,178,747,5.98,25.08,478,16.05,47.6,49.4,40.4,1200,1609,0,40.3,54.03,0,148,4.97,298,14.14,6.91,224,17.62,38125,449,35.33,1972,107000,751,177,10.1,88,18.41,150,9.32,312,115,9.05,397,13.33,157,12.35,189,14.87,333,22.02,10.9,24.55,2992,2737,0,9,13,14,22,20,41,93,43,0.914772727,0.007352941,0.012032086,0.020387701,0.045454545
ACSSF,nc,3539,37,7,920200,14000US37007920200,9202,Anson County,37007920200,1733,25.37206,123,294,7.1,16.96,404,23.31,41.6,35.3,50.6,997,723,0,57.53,41.72,0,6,0.35,226,17.4,2.26,208,28.93,51089,345,47.98,1977,108900,817,208,20.1,122,30.2,184,25.45,197,26,3.62,197,11.37,67,9.32,57,7.93,280,32.94,39.09,27.4,1591,1408,1,11,4,9,16,12,50,59,21,0.885606537,0.009428033,0.015713388,0.038969202,0.050282841
ACSSF,nc,3540,37,7,920301,14000US37007920301,9203.01,Anson County,37007920301,4433,49.763,151,959,3.41,21.63,911,20.55,41.9,37.2,47.6,3016,1090,0,68.04,24.59,0,342,7.71,683,21.74,3.61,223,13.08,51420,835,48.97,1981,119800,630,295,11.51,68,7.46,169,15.74,383,55,3.23,357,8.05,201,11.79,164,9.62,588,29.91,18.01,22.46,3784,3492,0,16,24,19,25,27,58,87,36,0.922832981,0.010570825,0.011627907,0.022463002,0.032505285
ACSSF,nc,3541,37,7,920302,14000US37007920302,9203.02,Anson County,37007920302,461,14.10233,26,44,5.64,9.54,56,12.15,31.2,30.7,36,310,130,0,67.25,28.2,0,21,4.56,27,6.89,0,0,0,56667,38,26.03,1959,NA,NA,0,0,0,0,0,0,25,0,0,149,33.86,12,8.22,0,0,21,14.38,100,17.12,603,543,0,0,6,1,8,4,10,28,3,0.900497512,0.009950249,0.014925373,0.023217247,0.051409619
ACSSF,nc,3542,37,7,920400,14000US37007920400,9204,Anson County,37007920400,2753,67.092,319,791,11.59,28.73,357,12.97,28.3,25.6,31.3,662,2032,0,24.05,73.81,0,0,0,129,8.34,10.08,453,44.24,26887,355,34.67,1973,82400,729,508,31.65,4,1.12,1161,57.14,519,175,17.09,274,9.95,320,31.25,206,20.12,86,6.65,51.45,50.68,2233,2008,0,15,40,29,26,21,40,46,8,0.899238692,0.024630542,0.024630542,0.02731751,0.024182714
